configuration_id,population_size,generations,crossover_probability,crossover_eta,mutation_eta,mutation_probability_per_variable,reference_partitions,nominal_evaluations,is_baseline,is_confirmed,screening_rank,runs,screening_hypervolume_mean,screening_hypervolume_std,confirmation_hypervolume_mean,confirmation_hypervolume_std,hypervolume_mean,hypervolume_std,hypervolume_ci95_low,hypervolume_ci95_high,igd_plus_mean,igd_plus_std,spacing_mean,runtime_seconds_mean,runtime_seconds_std,front_size_mean,compromise_engine_speed_rpm_mean,compromise_engine_speed_rpm_std,compromise_ignition_timing_degrees_mean,compromise_ignition_timing_degrees_std,compromise_efficiency_percent_mean,compromise_efficiency_percent_std,compromise_power_kw_per_kg_mean,compromise_power_kw_per_kg_std
C01,12,41,0.9,20.0,20.0,0.25,11,504,False,False,32,7,0.8309285049799914,0.01139906830574019,,,0.8309285049799914,0.01139906830574019,0.8219439014457407,0.8365976399220586,0.0122294637098427,0.002749128272932977,0.07162973948796718,10.725569986073035,2.385435537994258,11.285714285714286,5330.909395425085,420.6072498458927,-37.69035195990172,4.48316454107568,35.44034113542015,0.4017576400538659,15732.129622301172,1067.9409616588448
C02,24,20,0.7,30.0,10.0,0.25,23,504,False,False,22,7,0.8389363939513876,0.004701197974580372,,,0.8389363939513876,0.004701197974580372,0.8358258372153431,0.8423488085253611,0.00731886497632127,0.0016153263159815298,0.0266695910418482,9.189664429053664,0.3389854515705164,21.571428571428573,5228.631432152679,190.93609710497964,-36.83262628163368,2.5434530772894735,35.56868073103686,0.15825575150856874,15495.815341658237,497.77422818308906
C03,56,8,0.7,30.0,10.0,0.5,55,504,False,False,6,7,0.8447780310902526,0.004011065714702689,,,0.8447780310902526,0.004011065714702689,0.8418758077620786,0.8472445516759098,0.0032632269851298585,0.00031550260428380225,0.01836249919794202,8.986879956775478,0.42201638493726346,52.285714285714285,5286.1539798416325,228.80002584645788,-37.810967983944316,1.7547869142240557,35.52740962908649,0.2087123016640014,15646.874401350518,583.1602241040623
C04,24,20,0.9,10.0,20.0,0.5,23,504,False,False,13,7,0.8407369735408148,0.006746051051938173,,,0.8407369735408148,0.006746051051938173,0.8356062986058336,0.8445620967521763,0.005367878935595976,0.0009503359562082907,0.028393253602962177,10.092831728979945,2.6109066810771826,23.142857142857142,5305.607015157874,210.49808146910053,-39.05930571290821,1.1217364264416594,35.50578675219224,0.18614807134989628,15695.522298074764,541.955913104218
C05,12,41,0.9,10.0,40.0,0.25,11,504,False,False,35,7,0.8213870750513845,0.0135925199758144,,,0.8213870750513845,0.0135925199758144,0.8118853330031227,0.8303329406785883,0.018503772777414825,0.009154525116777362,0.06965715074503805,10.1978539715388,1.1588474225189624,10.714285714285714,5142.8202149180315,352.4581564051132,-35.34675540313955,2.9093253874286984,35.640813628269484,0.3140007683112107,15266.670365750755,901.6773861643196
C06,36,13,1.0,20.0,20.0,0.25,35,504,False,False,30,7,0.8317840267466777,0.014278370960183842,,,0.8317840267466777,0.014278370960183842,0.8217110454127207,0.8411108162597568,0.005650214912400355,0.0012879168147150026,0.017329417984714237,9.023177785798907,0.2829766409606991,34.857142857142854,5063.721833867449,229.0934229374002,-37.03012278810508,1.6940615173997733,35.72448079471312,0.19703945778759438,15071.684072326183,600.8553153848749
C07,36,13,1.0,30.0,40.0,1.0,35,504,False,False,7,7,0.8447317829742554,0.0041143646277966035,,,0.8447317829742554,0.0041143646277966035,0.841640511760246,0.8470848875489517,0.004297486855470169,0.0011847982604427678,0.01599236265680255,9.432155328137535,0.3790854921171295,36.0,5168.484163159757,299.65715903464337,-37.781994450138846,3.5333751964604816,35.62526946310218,0.271916545053459,15338.245561263368,774.9796125599063
C08,24,20,1.0,20.0,40.0,0.25,23,504,False,False,34,7,0.8306077993447245,0.011059568119331677,,,0.8306077993447245,0.011059568119331677,0.8228143603228729,0.8378051365145149,0.0085926102520376,0.0029424840453754473,0.02979528427989226,8.995561286008783,0.49955984279734733,23.142857142857142,5273.492455338181,475.1285210480702,-37.79618088438753,4.948122988810333,35.513455335423224,0.39869057116127826,15593.246770122085,1231.37440019845
C09,56,8,1.0,30.0,10.0,1.0,55,504,False,True,1,21,0.8467953107523163,0.002444998214166555,0.8477321070113073,0.001350151118943853,0.8474198415916435,0.0017841147560179584,0.8466281931493045,0.8481307746839519,0.002907838179233105,0.00027605135829396267,0.011977633671396268,8.684852423678551,0.5211304555892553,56.0,5195.857071502196,144.60638650243212,-37.191995053157484,1.4206459047648539,35.611472341741056,0.13506395383048989,15417.79839445586,370.639424743049
C10,36,13,0.9,20.0,10.0,0.5,35,504,False,False,18,7,0.8399101560326889,0.013552466496638911,,,0.8399101560326889,0.013552466496638911,0.8294381127700196,0.8457726759828275,0.0047962959563193405,0.0010441251068539672,0.023082794774168785,9.341805771525417,0.6705977028432123,34.42857142857143,5184.981017715936,293.6382646296317,-37.26166215396052,2.550142703120246,35.62330801284863,0.2630068415974723,15386.667794646695,768.4482401928176
C11,12,41,0.7,10.0,40.0,1.0,11,504,False,False,27,7,0.8364280335091133,0.0064074171230208195,,,0.8364280335091133,0.0064074171230208195,0.8314930751936725,0.8394870011522161,0.010844689283162854,0.0028183784515012347,0.07992451153526361,9.911449371437941,0.5055204595152578,12.0,5343.795683728716,377.1853608233797,-39.65578058802863,5.586282918995634,35.413227943281285,0.38806401695101606,15759.95467853068,950.239151460712
C12,24,20,0.9,20.0,20.0,0.5,23,504,True,True,21,21,0.8391468447248593,0.008090248217065193,0.8408286192335842,0.006390690617880268,0.8402680277306759,0.0068441353790269326,0.8371686446938617,0.842895146631385,0.0055786239461132784,0.0015393495358726821,0.026143674878367468,8.890077519097499,0.5621045276979054,23.238095238095237,5232.569837225164,208.16584014854246,-37.934562929229735,2.9422985776099893,35.56564983655534,0.23126176187731062,15504.593687139663,516.9153518654907
C13,56,8,1.0,30.0,40.0,1.0,55,504,False,False,11,7,0.8418090975637781,0.006537915727853614,,,0.8418090975637781,0.006537915727853614,0.83737882970028,0.8461747054508477,0.0031740941297401563,0.0007879187788932923,0.016265375750424273,8.99586738592812,0.5413141801853203,56.0,5329.808216567041,202.98220591818514,-38.56590244631155,1.8066251581559065,35.49474879974092,0.18943144880780527,15762.27060145874,514.9098471186138
C14,12,41,0.7,20.0,40.0,1.0,11,504,False,False,16,7,0.8401783419120672,0.002466627949893395,,,0.8401783419120672,0.002466627949893395,0.838564487135031,0.8418883782791285,0.009348302971726235,0.0014125959201173079,0.06392251857704513,9.940882942772337,0.32379230257972114,12.0,4982.958937686276,445.6652126291995,-35.3350703203936,4.760173562513642,35.77339184639334,0.3948970765538495,14842.311859811027,1168.1721390827058
C15,12,41,0.9,30.0,20.0,0.5,11,504,False,False,26,7,0.8369345817472637,0.004732985686383357,,,0.8369345817472637,0.004732985686383357,0.8333123609055156,0.8396500198703515,0.01057046805740125,0.0018274614968530184,0.05439978042622702,9.79871281449284,0.6897214980161639,11.714285714285714,5101.967954714026,251.1269081567509,-35.06695375069383,2.6130785890800925,35.67044797274808,0.22550828567592024,15161.859298252122,652.6219377791532
C16,36,13,0.7,30.0,10.0,0.5,35,504,False,False,9,7,0.8432487796719509,0.004582539095434825,,,0.8432487796719509,0.004582539095434825,0.8397588741116884,0.8459630534427618,0.003988991659073385,0.0003489161785417257,0.022069302151685236,9.279905828780361,0.7127000330779151,34.0,5334.357642339409,222.29775439423113,-37.898324639245466,1.1753883355777082,35.48314441043687,0.20587059524066836,15770.048480997833,565.9414669659117
C17,12,41,1.0,30.0,10.0,0.25,11,504,False,False,28,7,0.8353416709878437,0.005798246338898382,,,0.8353416709878437,0.005798246338898382,0.8310815397350959,0.8387957666217106,0.011064454848624271,0.0022294700681321114,0.08057664695068241,9.779182171715158,0.9652902056749855,11.857142857142858,5561.547539773024,332.57791256990294,-40.2561952254636,2.383715742091225,35.25676304605311,0.30189155204575385,16333.035414854914,839.6053695286512
C18,36,13,0.7,10.0,40.0,1.0,35,504,False,False,15,7,0.840515478520845,0.0057623765707080525,,,0.840515478520845,0.0057623765707080525,0.8365219360161446,0.844318895504244,0.004018287387649714,0.0008824406329617511,0.017314611831445417,9.117669342883996,0.3624470719833535,36.0,5284.009117538842,197.23234256826802,-38.174115979805116,1.54359529565319,35.53754737235933,0.18179533065503137,15645.83278533535,504.68233875138094
C19,12,41,0.9,10.0,10.0,0.5,11,504,False,False,24,7,0.8385443245355262,0.0028610467833773134,,,0.8385443245355262,0.0028610467833773134,0.8364609196455042,0.8403990294242976,0.009910328612696116,0.0015081820421980528,0.06644372764886117,10.005843957353916,0.4679533952688562,11.857142857142858,5451.18050522595,599.366598235826,-39.58349177386266,4.561870954743069,35.3588540484563,0.5607039275597654,16038.306754755511,1514.8700801753225
C20,24,20,0.7,20.0,40.0,0.5,23,504,False,False,31,7,0.8309306787920352,0.025151995501736142,,,0.8309306787920352,0.025151995501736142,0.811035255375481,0.8427187168242596,0.007018632108260614,0.0038383006342225896,0.020346427250884338,9.185069628592048,0.6931853057511215,23.285714285714285,5162.349977345251,412.6368038315936,-37.013698847692176,2.60211118757222,35.63659352319156,0.35999954221538594,15320.105023262391,1087.198740619546
C21,24,20,1.0,20.0,10.0,0.5,23,504,False,False,12,7,0.8412974043857451,0.005692378552196207,,,0.8412974043857451,0.005692378552196207,0.836988896039837,0.8444887761486738,0.005517409604603206,0.0005998133642111046,0.037569831245360404,9.167083828310881,0.5350988965249955,23.285714285714285,5056.345572117723,247.77926797908,-35.84795786960321,2.7098115477208333,35.72493304589841,0.20773030982264143,15049.478386807272,653.008247382013
C22,56,8,0.7,10.0,40.0,1.0,55,504,False,True,3,21,0.8460082828995602,0.0029281287580617574,0.8463009175209304,0.002667819828339986,0.8462033726471403,0.002686704975596832,0.8450304268709279,0.8472299999310174,0.003087452989164882,0.0007455268798907732,0.011149363456008327,8.801991918966884,0.5138936661856713,56.0,5295.779016639955,158.75179973909488,-38.13222216214656,1.6252316542727845,35.52425677828651,0.14709859731227917,15675.53280272147,405.2602525760939
C23,36,13,1.0,30.0,40.0,0.25,35,504,False,True,36,21,0.8173810266697726,0.022734016849263853,0.837136108704325,0.012886459781270346,0.8305510813594742,0.01881625985976448,0.8223140806638926,0.8377822482511202,0.007285473071560896,0.002594946215841979,0.02130518438948792,8.949368647432753,0.5945989603574674,33.57142857142857,5314.778597313239,280.25641362626305,-39.04936722746064,2.5613727113305838,35.49363573406849,0.26421410051372957,15714.210022503268,702.8629649224498
C24,24,20,0.7,10.0,20.0,1.0,23,504,False,False,8,7,0.8440138046054312,0.003562134335581146,,,0.8440138046054312,0.003562134335581146,0.8412722326154951,0.8459618533389903,0.004927167327431012,0.00032040159598898277,0.0288629062773669,9.018705371767282,0.28142508408302297,24.0,5167.305670789281,165.86782199314965,-36.13326855904185,2.0576817193423045,35.61468397159082,0.1683485157200352,15334.04344890395,422.6614197103827
C25,12,41,0.9,20.0,10.0,1.0,11,504,False,False,25,7,0.8381577242246046,0.0021325360213381587,,,0.8381577242246046,0.0021325360213381587,0.8367473236745797,0.8396983974584445,0.010040590331647914,0.0011967386698550216,0.06700815946487848,9.671196414423841,0.58315077497527,12.0,5192.060760374549,455.16557361067686,-37.23180917433039,4.311523492415346,35.59097991807369,0.4325032943079568,15385.164438184525,1161.196571855541
C26,24,20,1.0,10.0,20.0,0.25,23,504,False,False,29,7,0.8337675740450666,0.005803256897433854,,,0.8337675740450666,0.005803256897433854,0.8291821247950916,0.8368536383875383,0.0067187161694846325,0.0011124814282183091,0.027129751032131225,9.09850621383105,0.6883265035360946,23.285714285714285,5221.293377963854,116.82953896720966,-37.41592489704332,2.0855450453140487,35.58556318631133,0.09212587932264173,15482.795797463858,307.264126563114
C27,36,13,0.7,10.0,10.0,0.5,35,504,False,False,4,7,0.845747466238279,0.0018442102483456938,,,0.845747466238279,0.0018442102483456938,0.8444832885274602,0.8469900144569089,0.004224964903226787,0.00024238922184908833,0.022002285433678936,9.716106399627668,1.5338387886074605,34.0,5268.280030244679,154.86451970317634,-37.879218936138436,1.432355350224675,35.55117066206272,0.1409335296878096,15606.235576684863,396.7198253031955
C28,56,8,1.0,10.0,40.0,0.25,55,504,False,False,19,7,0.8398733978031562,0.007519333217846357,,,0.8398733978031562,0.007519333217846357,0.8343745508345892,0.8444432873164879,0.005101669999011258,0.0014297540924922882,0.011655242223680962,9.086089985445142,0.3295289065203493,51.142857142857146,5318.4023018719445,226.0747014012054,-39.12614058120597,2.4940162611526304,35.483333147604284,0.21012987848941145,15722.880549431813,576.3166875549351
C29,24,20,0.7,10.0,10.0,1.0,23,504,False,False,5,7,0.8453842808647892,0.0007694203418308042,,,0.8453842808647892,0.0007694203418308042,0.8448329429929601,0.8458937165054315,0.005008027151807955,0.0004995713167447708,0.025863683174616344,9.263912128550666,0.3758685526371838,24.0,5232.157642583363,255.3884130044986,-36.979101923363025,3.151521610566506,35.57146190065314,0.24096068790514263,15505.23770172119,648.6530815145518
C30,56,8,1.0,20.0,40.0,0.5,55,504,False,False,10,7,0.8428588891561413,0.004251954472581207,,,0.8428588891561413,0.004251954472581207,0.8395466612530411,0.8449959213575546,0.004240685654422104,0.0007449188164889417,0.010324717911236446,9.02426654339901,0.692126187381906,53.857142857142854,5392.298767354785,253.79592817359708,-39.11043158717531,1.993833056782939,35.43534121550555,0.23763594744090893,15918.854683887203,637.9092353122263
C31,36,13,1.0,20.0,20.0,0.5,35,504,False,False,23,7,0.8386551044659463,0.004124251815136711,,,0.8386551044659463,0.004124251815136711,0.8355823490385131,0.8412575329279229,0.0048980975856779945,0.0009865042578812177,0.015337117470082661,9.204061357304454,0.4292174277791088,34.42857142857143,5208.101245418978,126.88522105601461,-37.59982279439464,0.682676219700067,35.60563867945344,0.10980076937371129,15452.156064969417,329.109860579505
C32,12,41,0.7,10.0,20.0,1.0,11,504,False,False,14,7,0.8406110938259632,0.002087067458111748,,,0.8406110938259632,0.002087067458111748,0.8391917290924173,0.8419991203702751,0.009005232103187863,0.0013243355343645362,0.04835892322683593,9.778938257002405,0.49938384873508634,12.0,5237.328311772729,434.65226647366825,-37.85237116395484,4.230542736935533,35.55936015322338,0.3927337083848799,15507.499750005009,1125.484403918287
C33,56,8,0.9,30.0,20.0,0.25,55,504,False,False,17,7,0.839990779755998,0.0039122032616910095,,,0.839990779755998,0.0039122032616910095,0.8374490900713725,0.8427416160174804,0.004710794441797564,0.0006831595878100406,0.009870602243910745,8.689908085390925,0.7836506856633073,49.57142857142857,5342.147540773644,178.4582670748823,-38.87610958049089,2.243181913648955,35.468524949749124,0.163660766561988,15787.765048740976,451.06875157303494
C34,56,8,0.9,30.0,10.0,1.0,55,504,False,True,2,21,0.8465253712096902,0.0026056693641668643,0.8472529434433941,0.0013964350480485618,0.8470104193654928,0.0018514566018109175,0.8461981155710918,0.8477020528072096,0.003009430806094678,0.00026243001012056386,0.010920173628356643,8.793340809111085,0.7034427270434721,56.0,5244.982103930226,181.6247736275762,-37.186615203950545,1.3668440001979898,35.56830985885845,0.16949616356013095,15543.82103000041,464.35029808952845
C35,36,13,0.9,30.0,20.0,0.25,35,504,False,False,33,7,0.8309011142123975,0.014617517563623048,,,0.8309011142123975,0.014617517563623048,0.8202533079716128,0.8402188529806284,0.00713499097889015,0.0019417693374196145,0.023831524880438198,9.460815628724438,0.4534869199493306,33.57142857142857,5285.948760989855,122.3140714957184,-37.27419868228385,1.827061168443925,35.518403162184896,0.10905587725080654,15644.79400084115,317.472768584822
C36,56,8,0.9,20.0,20.0,0.25,55,504,False,False,20,7,0.8398119306378105,0.004648183043104667,,,0.8398119306378105,0.004648183043104667,0.836591942458087,0.8428488631961008,0.004755744996223963,0.0012119161936533754,0.01161737074509864,9.36555970034429,0.7705026705836989,50.857142857142854,5289.1186622050745,213.39747588986648,-38.619931273869035,1.5056737248684822,35.52667724327425,0.1953486835333369,15655.759805736749,542.8071393270843
